Dig, Place, County, Label, Type, Latitude, Longitude, X, Y
"2009","Hessett","Suffolk","1","PIT",52.22240669997389,0.8377041073311294,788,625
"2009","Hessett","Suffolk","2","PIT",52.21941933538491,0.834290014194236,715,517
"2009","Hessett","Suffolk","3","PIT",52.217399082471964,0.8337321650887717,703,446
"2009","Hessett","Suffolk","4","PIT",52.21534917568401,0.8332628847039983,693,375
"2009","Hessett","Suffolk","5","PIT",52.213689892302064,0.8309009560901681,644,317
"2009","Hessett","Suffolk","6","PIT",52.21927749950993,0.8248383748116928,515,507
"2009","Hessett","Suffolk","7","PIT",52.21900610419746,0.8203737091265448,420,495
"2009","Hessett","Suffolk","8","PIT",52.21707054438481,0.815266266311175,313,424
"2009","Hessett","Suffolk","9","PIT",52.20885320395226,0.8090144233918128,193,140
"2009","Hessett","Suffolk","1","COR",52.226830506261706,0.8314331072681315,654.5,778
"2009","Hessett","Suffolk","2","COR",52.22214927941703,0.8337966900951416,705,618
"2009","Hessett","Suffolk","3","COR",52.222102241917185,0.8121998804920081,240,605
"2009","Hessett","Suffolk","4","COR",52.21025134871615,0.8039501693074711,84,181
"2009","Hessett","Suffolk","5","COR",52.209984934037536,0.8155817604866491,329,181
"2009","Hessett","Suffolk","6","COR",52.216906525839285,0.8185207659913097,381.5,422.5
