Dig,Place,County,Label,Type,Latitude,Longitude
"2011 - Community Digs",Pirton,Hertfordshire,1,PIT,51.9759385478058,-0.33411456235042
"2011 - Community Digs",Pirton,Hertfordshire,2,PIT,51.9755443453504,-0.33392007135244
"2011 - Community Digs",Pirton,Hertfordshire,3,PIT,51.9753918834306,-0.33309780293989
"2011 - Community Digs",Pirton,Hertfordshire,4,PIT,51.9764636509652,-0.33577399796882
"2011 - Community Digs",Pirton,Hertfordshire,5,PIT,51.9763453665701,-0.33514082956543
"2011 - Community Digs",Pirton,Hertfordshire,6,PIT,51.9703824173734,-0.32801387525436
"2011 - Community Digs",Pirton,Hertfordshire,7,PIT,51.9704002043311,-0.32879361991811
"2011 - Community Digs",Pirton,Hertfordshire,13,PIT,51.9760697863155,-0.33607419728282
"2011 - Community Digs",Pirton,Hertfordshire,14,PIT,51.9711053159528,-0.33547020448608
"2011 - Community Digs",Pirton,Hertfordshire,15,PIT,51.9709383880065,-0.33318734232362
"2011 - Community Digs",Pirton,Hertfordshire,16,PIT,51.9728680917843,-0.33040115327305
"2011 - Community Digs",Pirton,Hertfordshire,17,PIT,51.9734189047417,-0.32831381973826
"2011 - Community Digs",Pirton,Hertfordshire,18,PIT,51.9733142808408,-0.33037899645111
"2011 - Community Digs",Pirton,Hertfordshire,19,PIT,51.9712773202545,-0.33439079681126
"2011 - Community Digs",Pirton,Hertfordshire,20,PIT,51.9714577617424,-0.33524408357611
"2011 - Community Digs",Pirton,Hertfordshire,21,PIT,51.9717179617117,-0.33439772215275
"2011 - Community Digs",Pirton,Hertfordshire,1,COR,51.9705648268296,-0.32427917898826
"2011 - Community Digs",Pirton,Hertfordshire,2,COR,51.9752943165509,-0.32226593651861
"2011 - Community Digs",Pirton,Hertfordshire,3,COR,51.9734275884301,-0.34046575370824
"2011 - Community Digs",Pirton,Hertfordshire,4,COR,51.9687752950988,-0.3319963169222
"2011 - Community Digs",Pirton,Hertfordshire,5,COR,51.9774462909969,-0.33321922166552
"2011 - Community Digs",Pirton,Hertfordshire,6,COR,51.9772755555246,-0.34005875974181
