Dig, Place, County, Label, Type, Latitude, Longitude
"April & June 2009 - Community Digs","Pirton","Hertfordshire","1","PIT",51.969161614195706,-0.3281596938333097
"April & June 2009 - Community Digs","Pirton","Hertfordshire","2","PIT",51.969683520114216,-0.3290105856770625
"April & June 2009 - Community Digs","Pirton","Hertfordshire","3","PIT",51.97056275532266,-0.3281707534637479
"April & June 2009 - Community Digs","Pirton","Hertfordshire","4","PIT",51.97107918300213,-0.32789210747884007
"April & June 2009 - Community Digs","Pirton","Hertfordshire","5","PIT",51.9707230066625,-0.32701764806730516
"April & June 2009 - Community Digs","Pirton","Hertfordshire","6","PIT",51.96966837451559,-0.3279035893519422
"April & June 2009 - Community Digs","Pirton","Hertfordshire","7","PIT",51.974495449184836,-0.33531772711367325
"April & June 2009 - Community Digs","Pirton","Hertfordshire","8","PIT",51.971571498391114,-0.32757964209793045
"April & June 2009 - Community Digs","Pirton","Hertfordshire","9","PIT",51.97153861173326,-0.3331547022347081
"April & June 2009 - Community Digs","Pirton","Hertfordshire","10","PIT",51.97461574944512,-0.33211150267314576
"April & June 2009 - Community Digs","Pirton","Hertfordshire","11","PIT",51.97737173191002,-0.33718814691543847
"April & June 2009 - Community Digs","Pirton","Hertfordshire","12","PIT",51.97784030723696,-0.3365916941486533
"April & June 2009 - Community Digs","Pirton","Hertfordshire","1","COR",51.97536290231975,-0.3271496824498429
"April & June 2009 - Community Digs","Pirton","Hertfordshire","2","COR",51.97342280100722,-0.3404413101808068
"April & June 2009 - Community Digs","Pirton","Hertfordshire","3","COR",51.96878891319416,-0.33197620792208793
"April & June 2009 - Community Digs","Pirton","Hertfordshire","4","COR",51.97928429524793,-0.3321369037591255
"April & June 2009 - Community Digs","Pirton","Hertfordshire","5","COR",51.97098628167774,-0.3241413486147957
"April & June 2009 - Community Digs","Pirton","Hertfordshire","6","COR",51.972644685842035,-0.3314129667423679
