Source,Pit,Context/Spit,Low Date,High Data,Type,Number,Weight
PotReportManuden11.doc,1,1,1800,1900,VIC,1,1
PotReportManuden11.doc,1,2,1800,1900,VIC,1,1
PotReportManuden11.doc,1,8,1800,1900,VIC,3,21
PotReportManuden11.doc,1,9,1600,1900,MB,1,7
PotReportManuden11.doc,1,9,1600,1900,SMW,1,1
PotReportManuden11.doc,1,9,1600,1900,VIC,36,132
PotReportManuden11.doc,1,10,1550,1900,GRE,2,48
PotReportManuden11.doc,1,10,1550,1900,MB,1,5
PotReportManuden11.doc,1,10,1550,1900,EST,1,14
PotReportManuden11.doc,1,10,1550,1900,VIC,39,145
PotReportManuden11.doc,2,1,1250,1900,MG,1,3
PotReportManuden11.doc,2,1,1250,1900,VIC,4,23
PotReportManuden11.doc,2,2,1550,1900,GRE,4,14
PotReportManuden11.doc,2,2,1550,1900,SS,1,3
PotReportManuden11.doc,2,2,1550,1900,EST,2,4
PotReportManuden11.doc,2,2,1550,1900,SWSG,2,5
PotReportManuden11.doc,2,2,1550,1900,VIC,8,84
PotReportManuden11.doc,2,3,1600,1900,MB,1,3
PotReportManuden11.doc,2,3,1600,1900,SS,1,2
PotReportManuden11.doc,2,3,1600,1900,EST,1,4
PotReportManuden11.doc,2,3,1600,1900,VIC,10,135
PotReportManuden11.doc,2,4,1600,1900,MB,1,7
PotReportManuden11.doc,2,4,1600,1900,TGE,1,1
PotReportManuden11.doc,2,4,1600,1900,SS,4,36
PotReportManuden11.doc,2,4,1600,1900,EST,2,45
PotReportManuden11.doc,2,4,1600,1900,SWSG,1,2
PotReportManuden11.doc,2,4,1600,1900,VIC,3,213
PotReportManuden11.doc,2,5,1700,1800,EST,2,6
PotReportManuden11.doc,2,6,1720,1750,SWSG,1,2
PotReportManuden11.doc,3,1,1800,1900,VIC,6,24
PotReportManuden11.doc,3,2,1600,1900,WCS,1,6
PotReportManuden11.doc,3,2,1600,1900,VIC,6,18
PotReportManuden11.doc,3,3,1800,1900,VIC,12,45
PotReportManuden11.doc,3,4,1700,1900,EST,1,3
PotReportManuden11.doc,3,4,1700,1900,VIC,19,38
PotReportManuden11.doc,3,5,1700,1900,EST,1,14
PotReportManuden11.doc,3,5,1700,1900,VIC,12,36
PotReportManuden11.doc,3,6,1700,1900,EST,2,9
PotReportManuden11.doc,3,6,1700,1900,VIC,19,102
PotReportManuden11.doc,3,7,1800,1900,VIC,1,1
PotReportManuden11.doc,4,1,1700,1900,EST,1,1
PotReportManuden11.doc,4,1,1700,1900,VIC,3,13
PotReportManuden11.doc,4,2,1800,1900,VIC,5,15
PotReportManuden11.doc,4,3,1800,1900,VIC,1,1
PotReportManuden11.doc,4,4,1550,1900,GRE,4,35
PotReportManuden11.doc,4,4,1550,1900,VIC,8,21
PotReportManuden11.doc,4,5,1700,1900,EST,2,4
PotReportManuden11.doc,4,5,1700,1900,VIC,19,73
PotReportManuden11.doc,4,6,1550,1900,GRE,2,10
PotReportManuden11.doc,4,6,1550,1900,VIC,14,142
PotReportManuden11.doc,4,7,1550,1900,GRE,6,96
PotReportManuden11.doc,4,7,1550,1900,MB,1,4
PotReportManuden11.doc,4,7,1550,1900,EST,2,18
PotReportManuden11.doc,4,7,1550,1900,SWSG,3,5
PotReportManuden11.doc,4,7,1550,1900,VIC,20,47
PotReportManuden11.doc,4,8,1400,1900,LMT,1,12
PotReportManuden11.doc,4,8,1400,1900,GRE,1,15
PotReportManuden11.doc,4,8,1400,1900,EST,2,2
PotReportManuden11.doc,4,8,1400,1900,VIC,2,6
PotReportManuden11.doc,5,1,1100,1900,EMW,1,4
PotReportManuden11.doc,5,1,1100,1900,VIC,1,4
PotReportManuden11.doc,5,3,1800,1900,VIC,1,10
PotReportManuden11.doc,5,7,1400,1550,LMT,1,3
PotReportManuden11.doc,6,1,1100,1900,EMW,1,7
PotReportManuden11.doc,6,1,1100,1900,VIC,25,199
PotReportManuden11.doc,6,2,1100,1900,EMW,1,13
PotReportManuden11.doc,6,2,1100,1900,GRE,1,6
PotReportManuden11.doc,6,2,1100,1900,VIC,15,589
PotReportManuden11.doc,6,3,1800,1900,VIC,61,2486
PotReportManuden11.doc,6,4,1800,1900,VIC,18,382
PotReportManuden11.doc,6,5,1800,1900,VIC,6,144
PotReportManuden11.doc,6,7,1800,1900,VIC,2,2
PotReportManuden11.doc,7,1,1800,1900,VIC,1,2
PotReportManuden11.doc,7,2,1550,1900,GRE,2,11
PotReportManuden11.doc,7,2,1550,1900,VIC,14,42
PotReportManuden11.doc,7,3,1550,1900,GRE,1,2
PotReportManuden11.doc,7,3,1550,1900,EST,1,7
PotReportManuden11.doc,7,3,1550,1900,VIC,26,62
PotReportManuden11.doc,7,4,1550,1900,GRE,1,3
PotReportManuden11.doc,7,4,1550,1900,VIC,63,235
PotReportManuden11.doc,7,5,1800,1900,VIC,33,170
